# Puchwein et al 2019
# z = 0.615200
# E [Ryd] log (J_nu)
interpolate (0.0000000100) (-50.0000000000)
continue (0.0007810860 dimensionless) (-50.0000000000)
continue (0.0007889757 dimensionless) (-18.2930263238)
continue (0.0008276721 dimensionless) (-18.3174939141)
continue (0.0008678733 dimensionless) (-18.3427528701)
continue (0.0009112670 dimensionless) (-18.3687592198)
continue (0.0009556071 dimensionless) (-18.3953420280)
continue (0.0010026042 dimensionless) (-18.4222784755)
continue (0.0010517855 dimensionless) (-18.4496493277)
continue (0.0011034960 dimensionless) (-18.4772950073)
continue (0.0011577525 dimensionless) (-18.5052889748)
continue (0.0012145368 dimensionless) (-18.5332806283)
continue (0.0012741429 dimensionless) (-18.5614576512)
continue (0.0013367566 dimensionless) (-18.5895602138)
continue (0.0014023807 dimensionless) (-18.6176226965)
continue (0.0014712092 dimensionless) (-18.6456994377)
continue (0.0015434739 dimensionless) (-18.6738690433)
continue (0.0016194544 dimensionless) (-18.7015836199)
continue (0.0016988571 dimensionless) (-18.7290883606)
continue (0.0017822550 dimensionless) (-18.7562180839)
continue (0.0018700328 dimensionless) (-18.7830427926)
continue (0.0019618234 dimensionless) (-18.8096683018)
continue (0.0020579652 dimensionless) (-18.8356471442)
continue (0.0021594004 dimensionless) (-18.8613815661)
continue (0.0022651429 dimensionless) (-18.8863908489)
continue (0.0023768048 dimensionless) (-18.9111554373)
continue (0.0024932065 dimensionless) (-18.9351677803)
continue (0.0026155768 dimensionless) (-18.9586073148)
continue (0.0027439535 dimensionless) (-18.9812995013)
continue (0.0028792005 dimensionless) (-19.0034007773)
continue (0.0030204407 dimensionless) (-19.0249360039)
continue (0.0031685222 dimensionless) (-19.0458057482)
continue (0.0033245785 dimensionless) (-19.0661585371)
continue (0.0034874358 dimensionless) (-19.0859214146)
continue (0.0036582375 dimensionless) (-19.1051856709)
continue (0.0038385298 dimensionless) (-19.1239554498)
continue (0.0040268094 dimensionless) (-19.1423057422)
continue (0.0042246962 dimensionless) (-19.1602078156)
continue (0.0044322323 dimensionless) (-19.1777011287)
continue (0.0046493213 dimensionless) (-19.1948390984)
continue (0.0048783028 dimensionless) (-19.2117609026)
