# Puchwein et al 2019
# z = 7.246000
# E [Ryd] log (J_nu)
interpolate (0.0000000100) (-50.0000000000)
continue (0.0007810860 dimensionless) (-50.0000000000)
continue (0.0007889757 dimensionless) (-18.0427759422)
continue (0.0008276721 dimensionless) (-18.0644423549)
continue (0.0008678733 dimensionless) (-18.0876716420)
continue (0.0009112670 dimensionless) (-18.1129456219)
continue (0.0009556071 dimensionless) (-18.1397818153)
continue (0.0010026042 dimensionless) (-18.1672356951)
continue (0.0010517855 dimensionless) (-18.1956560815)
continue (0.0011034960 dimensionless) (-18.2251911697)
continue (0.0011577525 dimensionless) (-18.2559418341)
continue (0.0012145368 dimensionless) (-18.2874344721)
continue (0.0012741429 dimensionless) (-18.3193019703)
continue (0.0013367566 dimensionless) (-18.3517375943)
continue (0.0014023807 dimensionless) (-18.3846813434)
continue (0.0014712092 dimensionless) (-18.4183916340)
continue (0.0015434739 dimensionless) (-18.4529641003)
continue (0.0016194544 dimensionless) (-18.4879830305)
continue (0.0016988571 dimensionless) (-18.5231683715)
continue (0.0017822550 dimensionless) (-18.5584619613)
continue (0.0018700328 dimensionless) (-18.5939710550)
continue (0.0019618234 dimensionless) (-18.6298571529)
continue (0.0020579652 dimensionless) (-18.6659485597)
continue (0.0021594004 dimensionless) (-18.7026772858)
continue (0.0022651429 dimensionless) (-18.7399286120)
continue (0.0023768048 dimensionless) (-18.7775436633)
continue (0.0024932065 dimensionless) (-18.8153085692)
continue (0.0026155768 dimensionless) (-18.8529423290)
continue (0.0027439535 dimensionless) (-18.8904214531)
continue (0.0028792005 dimensionless) (-18.9281179927)
continue (0.0030204407 dimensionless) (-18.9657727392)
continue (0.0031685222 dimensionless) (-19.0034445504)
continue (0.0033245785 dimensionless) (-19.0411018053)
continue (0.0034874358 dimensionless) (-19.0786777564)
continue (0.0036582375 dimensionless) (-19.1162250386)
continue (0.0038385298 dimensionless) (-19.1537247576)
continue (0.0040268094 dimensionless) (-19.1911141326)
continue (0.0042246962 dimensionless) (-19.2282655746)
continue (0.0044322323 dimensionless) (-19.2650402387)
continue (0.0046493213 dimensionless) (-19.3014645074)
continue (0.0048783028 dimensionless) (-19.3376199800)
continue (0.0051194774 dimensionless) (-19.3737623149)
continue (0.0053698702 dimensionless) (-19.4099387692)
continue (0.0056320579 dimensionless) (-19.4458744185)
continue (0.0059096431 dimensionless) (-19.4817493487)
continue (0.0061990950 dimensionless) (-19.5175552081)
continue (0.0065044038 dimensionless) (-19.5531522898)
continue (0.0068259698 dimensionless) (-19.5883802940)
continue (0.0071584208 dimensionless) (-19.6234230429)
continue (0.0075125059 dimensionless) (-19.6579723119)
continue (0.0078829323 dimensionless) (-19.6918626214)
continue (0.0082692103 dimensionless) (-19.7244583116)
continue (0.0086704755 dimensionless) (-19.7552282385)
continue (0.0090944807 dimensionless) (-19.7833064008)
continue (0.0095460609 dimensionless) (-19.8088285443)
continue (0.0100150233 dimensionless) (-19.8317972532)
continue (0.0105069407 dimensionless) (-19.8526328922)
continue (0.0110229463 dimensionless) (-19.8706324043)
continue (0.0115643017 dimensionless) (-19.8857227034)
continue (0.0121324320 dimensionless) (-19.8979094745)
continue (0.0127271923 dimensionless) (-19.9069286936)
continue (0.0133518970 dimensionless) (-19.9132843361)
continue (0.0140087159 dimensionless) (-19.9161391991)
continue (0.0146954841 dimensionless) (-19.9157813133)
continue (0.0154190689 dimensionless) (-19.9118639113)
continue (0.0161744226 dimensionless) (-19.9037854147)
continue (0.0169695898 dimensionless) (-19.8914349763)
continue (0.0178051382 dimensionless) (-19.8735438866)
continue (0.0186773308 dimensionless) (-19.8501653033)
continue (0.0195971392 dimensionless) (-19.8210230527)
continue (0.0205564397 dimensionless) (-19.7872798456)
continue (0.0215684490 dimensionless) (-19.7574585717)
continue (0.0226289290 dimensionless) (-19.7325935812)
continue (0.0237370922 dimensionless) (-19.7073009970)
continue (0.0249048093 dimensionless) (-19.6821455107)
continue (0.0261257732 dimensionless) (-19.6569855028)
continue (0.0274065254 dimensionless) (-19.6315271616)
continue (0.0287556633 dimensionless) (-19.6074789101)
continue (0.0301644148 dimensionless) (-19.5846927078)
continue (0.0316522046 dimensionless) (-19.5622494372)
continue (0.0332094377 dimensionless) (-19.5389519083)
continue (0.0348343643 dimensionless) (-19.5130031116)
continue (0.0365530273 dimensionless) (-19.4825401735)
continue (0.0383368519 dimensionless) (-19.4500163888)
continue (0.0402325373 dimensionless) (-19.4241196843)
continue (0.0422078263 dimensionless) (-19.4060497047)
continue (0.0442792503 dimensionless) (-19.3896592885)
continue (0.0464458191 dimensionless) (-19.3752024210)
continue (0.0487308541 dimensionless) (-19.3628105779)
continue (0.0511373160 dimensionless) (-19.3541848817)
continue (0.0536354897 dimensionless) (-19.3512497873)
continue (0.0562510476 dimensionless) (-19.3534982500)
continue (0.0590198815 dimensionless) (-19.3565473235)
continue (0.0619488083 dimensionless) (-19.3558569495)
continue (0.0649513165 dimensionless) (-19.3524214458)
continue (0.0681575894 dimensionless) (-19.3486250561)
continue (0.0715280197 dimensionless) (-19.3444774037)
continue (0.0750013968 dimensionless) (-19.3404640928)
continue (0.0786931754 dimensionless) (-19.3369590251)
continue (0.0825422981 dimensionless) (-19.3344190090)
continue (0.0866223356 dimensionless) (-19.3332948639)
continue (0.0908541347 dimensionless) (-19.3328273275)
