# Puchwein et al 2019
# z = 5.184000
# E [Ryd] log (J_nu)
interpolate (0.0000000100) (-50.0000000000)
continue (0.0007810860 dimensionless) (-50.0000000000)
continue (0.0007889757 dimensionless) (-17.9351677803)
continue (0.0008276721 dimensionless) (-17.9570309266)
continue (0.0008678733 dimensionless) (-17.9804683155)
continue (0.0009112670 dimensionless) (-18.0056388481)
continue (0.0009556071 dimensionless) (-18.0323584359)
continue (0.0010026042 dimensionless) (-18.0597824444)
continue (0.0010517855 dimensionless) (-18.0880438109)
continue (0.0011034960 dimensionless) (-18.1174185464)
continue (0.0011577525 dimensionless) (-18.1479471913)
continue (0.0012145368 dimensionless) (-18.1791420106)
continue (0.0012741429 dimensionless) (-18.2107013888)
continue (0.0013367566 dimensionless) (-18.2426799035)
continue (0.0014023807 dimensionless) (-18.2751509124)
continue (0.0014712092 dimensionless) (-18.3083881258)
continue (0.0015434739 dimensionless) (-18.3423705686)
continue (0.0016194544 dimensionless) (-18.3767507096)
continue (0.0016988571 dimensionless) (-18.4111682744)
continue (0.0017822550 dimensionless) (-18.4457531918)
continue (0.0018700328 dimensionless) (-18.4804344991)
continue (0.0019618234 dimensionless) (-18.5152731957)
continue (0.0020579652 dimensionless) (-18.5503673495)
continue (0.0021594004 dimensionless) (-18.5858626378)
continue (0.0022651429 dimensionless) (-18.6217838503)
continue (0.0023768048 dimensionless) (-18.6579723119)
continue (0.0024932065 dimensionless) (-18.6940041172)
continue (0.0026155768 dimensionless) (-18.7300203234)
continue (0.0027439535 dimensionless) (-18.7659891824)
continue (0.0028792005 dimensionless) (-18.8016178700)
continue (0.0030204407 dimensionless) (-18.8371370067)
continue (0.0031685222 dimensionless) (-18.8725712221)
continue (0.0033245785 dimensionless) (-18.9079815292)
continue (0.0034874358 dimensionless) (-18.9430951487)
continue (0.0036582375 dimensionless) (-18.9775716288)
continue (0.0038385298 dimensionless) (-19.0120210841)
continue (0.0040268094 dimensionless) (-19.0458057482)
continue (0.0042246962 dimensionless) (-19.0788339494)
continue (0.0044322323 dimensionless) (-19.1108664440)
continue (0.0046493213 dimensionless) (-19.1418840678)
continue (0.0048783028 dimensionless) (-19.1723722952)
continue (0.0051194774 dimensionless) (-19.2026631992)
continue (0.0053698702 dimensionless) (-19.2327699019)
continue (0.0056320579 dimensionless) (-19.2625687995)
continue (0.0059096431 dimensionless) (-19.2921744317)
continue (0.0061990950 dimensionless) (-19.3213905834)
continue (0.0065044038 dimensionless) (-19.3504704341)
continue (0.0068259698 dimensionless) (-19.3792395100)
continue (0.0071584208 dimensionless) (-19.4078232426)
continue (0.0075125059 dimensionless) (-19.4362816600)
continue (0.0078829323 dimensionless) (-19.4641997092)
continue (0.0082692103 dimensionless) (-19.4903942954)
continue (0.0086704755 dimensionless) (-19.5137112390)
continue (0.0090944807 dimensionless) (-19.5331323796)
continue (0.0095460609 dimensionless) (-19.5491353076)
continue (0.0100150233 dimensionless) (-19.5624079677)
continue (0.0105069407 dimensionless) (-19.5728385971)
continue (0.0110229463 dimensionless) (-19.5805399272)
continue (0.0115643017 dimensionless) (-19.5853608533)
continue (0.0121324320 dimensionless) (-19.5873714795)
continue (0.0127271923 dimensionless) (-19.5867002359)
continue (0.0133518970 dimensionless) (-19.5836924129)
continue (0.0140087159 dimensionless) (-19.5783960731)
continue (0.0146954841 dimensionless) (-19.5705707356)
continue (0.0154190689 dimensionless) (-19.5600360641)
continue (0.0161744226 dimensionless) (-19.5459177293)
continue (0.0169695898 dimensionless) (-19.5276824537)
continue (0.0178051382 dimensionless) (-19.5044556625)
continue (0.0186773308 dimensionless) (-19.4759935544)
continue (0.0195971392 dimensionless) (-19.4421320384)
continue (0.0205564397 dimensionless) (-19.4051656444)
continue (0.0215684490 dimensionless) (-19.3730440486)
continue (0.0226289290 dimensionless) (-19.3465945093)
continue (0.0237370922 dimensionless) (-19.3202996191)
continue (0.0249048093 dimensionless) (-19.2943073035)
continue (0.0261257732 dimensionless) (-19.2688142924)
continue (0.0274065254 dimensionless) (-19.2439727870)
continue (0.0287556633 dimensionless) (-19.2205478166)
continue (0.0301644148 dimensionless) (-19.1988021655)
continue (0.0316522046 dimensionless) (-19.1775050147)
continue (0.0332094377 dimensionless) (-19.1553364718)
continue (0.0348343643 dimensionless) (-19.1295375684)
continue (0.0365530273 dimensionless) (-19.0982148547)
continue (0.0383368519 dimensionless) (-19.0648455528)
continue (0.0402325373 dimensionless) (-19.0394816572)
continue (0.0422078263 dimensionless) (-19.0231458534)
continue (0.0442792503 dimensionless) (-19.0091285952)
continue (0.0464458191 dimensionless) (-18.9974020193)
continue (0.0487308541 dimensionless) (-18.9888526392)
continue (0.0511373160 dimensionless) (-18.9850596502)
