# Puchwein et al 2019
# z = 0.539600
# E [Ryd] log (J_nu)
interpolate (0.0000000100) (-50.0000000000)
continue (0.0007810860 dimensionless) (-50.0000000000)
continue (0.0007889757 dimensionless) (-18.3560540873)
continue (0.0008276721 dimensionless) (-18.3808022842)
continue (0.0008678733 dimensionless) (-18.4061603389)
continue (0.0009112670 dimensionless) (-18.4323855573)
continue (0.0009556071 dimensionless) (-18.4590451911)
continue (0.0010026042 dimensionless) (-18.4861168144)
continue (0.0010517855 dimensionless) (-18.5134278495)
continue (0.0011034960 dimensionless) (-18.5410601381)
continue (0.0011577525 dimensionless) (-18.5691190535)
continue (0.0012145368 dimensionless) (-18.5970511707)
continue (0.0012741429 dimensionless) (-18.6252516540)
continue (0.0013367566 dimensionless) (-18.6532559454)
continue (0.0014023807 dimensionless) (-18.6811022854)
continue (0.0014712092 dimensionless) (-18.7090754406)
continue (0.0015434739 dimensionless) (-18.7370745307)
continue (0.0016194544 dimensionless) (-18.7647241233)
continue (0.0016988571 dimensionless) (-18.7918274733)
continue (0.0017822550 dimensionless) (-18.8187282284)
continue (0.0018700328 dimensionless) (-18.8455760269)
continue (0.0019618234 dimensionless) (-18.8716007313)
continue (0.0020579652 dimensionless) (-18.8975662943)
continue (0.0021594004 dimensionless) (-18.9226320947)
continue (0.0022651429 dimensionless) (-18.9476909004)
continue (0.0023768048 dimensionless) (-18.9718355806)
continue (0.0024932065 dimensionless) (-18.9956786262)
continue (0.0026155768 dimensionless) (-19.0184985119)
continue (0.0027439535 dimensionless) (-19.0409108856)
continue (0.0028792005 dimensionless) (-19.0627329278)
continue (0.0030204407 dimensionless) (-19.0839147002)
continue (0.0031685222 dimensionless) (-19.1045222037)
continue (0.0033245785 dimensionless) (-19.1245914399)
continue (0.0034874358 dimensionless) (-19.1441780946)
continue (0.0036582375 dimensionless) (-19.1632329526)
continue (0.0038385298 dimensionless) (-19.1819061309)
continue (0.0040268094 dimensionless) (-19.2001083153)
continue (0.0042246962 dimensionless) (-19.2178858525)
continue (0.0044322323 dimensionless) (-19.2352262831)
