# Puchwein et al 2019
# z = 0.777800
# E [Ryd] log (J_nu)
interpolate (0.0000000100) (-50.0000000000)
continue (0.0007810860 dimensionless) (-50.0000000000)
continue (0.0007889757 dimensionless) (-18.1745738822)
continue (0.0008276721 dimensionless) (-18.1985276865)
continue (0.0008678733 dimensionless) (-18.2233714466)
continue (0.0009112670 dimensionless) (-18.2490290156)
continue (0.0009556071 dimensionless) (-18.2753964846)
continue (0.0010026042 dimensionless) (-18.3022477258)
continue (0.0010517855 dimensionless) (-18.3293831136)
continue (0.0011034960 dimensionless) (-18.3570411206)
continue (0.0011577525 dimensionless) (-18.3849973855)
continue (0.0012145368 dimensionless) (-18.4131877306)
continue (0.0012741429 dimensionless) (-18.4414114169)
continue (0.0013367566 dimensionless) (-18.4696722102)
continue (0.0014023807 dimensionless) (-18.4979827852)
continue (0.0014712092 dimensionless) (-18.5263670731)
continue (0.0015434739 dimensionless) (-18.5547072306)
continue (0.0016194544 dimensionless) (-18.5828605903)
continue (0.0016988571 dimensionless) (-18.6106566887)
continue (0.0017822550 dimensionless) (-18.6382721640)
continue (0.0018700328 dimensionless) (-18.6655462488)
continue (0.0019618234 dimensionless) (-18.6925039621)
continue (0.0020579652 dimensionless) (-18.7191940716)
continue (0.0021594004 dimensionless) (-18.7454519229)
continue (0.0022651429 dimensionless) (-18.7713430419)
continue (0.0023768048 dimensionless) (-18.7964232250)
continue (0.0024932065 dimensionless) (-18.8213107602)
continue (0.0026155768 dimensionless) (-18.8455760269)
continue (0.0027439535 dimensionless) (-18.8690233084)
continue (0.0028792005 dimensionless) (-18.8917733436)
continue (0.0030204407 dimensionless) (-18.9139962944)
continue (0.0031685222 dimensionless) (-18.9355420108)
continue (0.0033245785 dimensionless) (-18.9562448730)
continue (0.0034874358 dimensionless) (-18.9767475404)
continue (0.0036582375 dimensionless) (-18.9965394679)
continue (0.0038385298 dimensionless) (-19.0154726867)
continue (0.0040268094 dimensionless) (-19.0340930845)
continue (0.0042246962 dimensionless) (-19.0522232915)
continue (0.0044322323 dimensionless) (-19.0699173666)
continue (0.0046493213 dimensionless) (-19.0872997918)
continue (0.0048783028 dimensionless) (-19.1045774540)
continue (0.0051194774 dimensionless) (-19.1217655313)
continue (0.0053698702 dimensionless) (-19.1388241645)
continue (0.0056320579 dimensionless) (-19.1556471037)
continue (0.0059096431 dimensionless) (-19.1720494717)
continue (0.0061990950 dimensionless) (-19.1879561021)
continue (0.0065044038 dimensionless) (-19.2031482510)
continue (0.0068259698 dimensionless) (-19.2175273758)
continue (0.0071584208 dimensionless) (-19.2308443093)
continue (0.0075125059 dimensionless) (-19.2429837653)
continue (0.0078829323 dimensionless) (-19.2532879775)
continue (0.0082692103 dimensionless) (-19.2612986996)
continue (0.0086704755 dimensionless) (-19.2668027349)
continue (0.0090944807 dimensionless) (-19.2696215314)
continue (0.0095460609 dimensionless) (-19.2698639960)
continue (0.0100150233 dimensionless) (-19.2677671198)
continue (0.0105069407 dimensionless) (-19.2634441528)
continue (0.0110229463 dimensionless) (-19.2568823748)
continue (0.0115643017 dimensionless) (-19.2481822123)
continue (0.0121324320 dimensionless) (-19.2375465176)
continue (0.0127271923 dimensionless) (-19.2253370775)
continue (0.0133518970 dimensionless) (-19.2118316289)
continue (0.0140087159 dimensionless) (-19.1972946729)
continue (0.0146954841 dimensionless) (-19.1819721581)
continue (0.0154190689 dimensionless) (-19.1658973443)
continue (0.0161744226 dimensionless) (-19.1492925146)
continue (0.0169695898 dimensionless) (-19.1320613491)
continue (0.0178051382 dimensionless) (-19.1143561282)
continue (0.0186773308 dimensionless) (-19.0962590594)
continue (0.0195971392 dimensionless) (-19.0778976332)
continue (0.0205564397 dimensionless) (-19.0595333223)
continue (0.0215684490 dimensionless) (-19.0419619839)
continue (0.0226289290 dimensionless) (-19.0251660450)
continue (0.0237370922 dimensionless) (-19.0088182423)
continue (0.0249048093 dimensionless) (-18.9931062921)
continue (0.0261257732 dimensionless) (-18.9779842602)
continue (0.0274065254 dimensionless) (-18.9641701747)
continue (0.0287556633 dimensionless) (-18.9515581964)
continue (0.0301644148 dimensionless) (-18.9400581119)
continue (0.0316522046 dimensionless) (-18.9295926783)
continue (0.0332094377 dimensionless) (-18.9200955323)
