# Puchwein et al 2019
# z = 9.479000
# E [Ryd] log (J_nu)
interpolate (0.0000000100) (-50.0000000000)
continue (0.0007810860 dimensionless) (-50.0000000000)
continue (0.0007889757 dimensionless) (-18.1643728338)
continue (0.0008276721 dimensionless) (-18.1852863873)
continue (0.0008678733 dimensionless) (-18.2078885909)
continue (0.0009112670 dimensionless) (-18.2326214759)
continue (0.0009556071 dimensionless) (-18.2590060684)
continue (0.0010026042 dimensionless) (-18.2860057323)
continue (0.0010517855 dimensionless) (-18.3139897087)
continue (0.0011034960 dimensionless) (-18.3432312207)
continue (0.0011577525 dimensionless) (-18.3738650214)
continue (0.0012145368 dimensionless) (-18.4051656444)
continue (0.0012741429 dimensionless) (-18.4368750397)
continue (0.0013367566 dimensionless) (-18.4689044531)
continue (0.0014023807 dimensionless) (-18.5016894462)
continue (0.0014712092 dimensionless) (-18.5353614409)
continue (0.0015434739 dimensionless) (-18.5697636466)
continue (0.0016194544 dimensionless) (-18.6048484085)
continue (0.0016988571 dimensionless) (-18.6397853867)
continue (0.0017822550 dimensionless) (-18.6751005029)
continue (0.0018700328 dimensionless) (-18.7106340485)
continue (0.0019618234 dimensionless) (-18.7464197104)
continue (0.0020579652 dimensionless) (-18.7827793444)
continue (0.0021594004 dimensionless) (-18.8193007987)
continue (0.0022651429 dimensionless) (-18.8569851997)
continue (0.0023768048 dimensionless) (-18.8948305720)
continue (0.0024932065 dimensionless) (-18.9329291440)
continue (0.0026155768 dimensionless) (-18.9706162223)
continue (0.0027439535 dimensionless) (-19.0086409974)
continue (0.0028792005 dimensionless) (-19.0466269493)
continue (0.0030204407 dimensionless) (-19.0846001648)
continue (0.0031685222 dimensionless) (-19.1225710592)
continue (0.0033245785 dimensionless) (-19.1605848073)
continue (0.0034874358 dimensionless) (-19.1986649043)
continue (0.0036582375 dimensionless) (-19.2367217890)
continue (0.0038385298 dimensionless) (-19.2749054789)
continue (0.0040268094 dimensionless) (-19.3130064337)
continue (0.0042246962 dimensionless) (-19.3511522916)
continue (0.0044322323 dimensionless) (-19.3893398369)
continue (0.0046493213 dimensionless) (-19.4274769022)
continue (0.0048783028 dimensionless) (-19.4654662440)
continue (0.0051194774 dimensionless) (-19.5034854813)
continue (0.0053698702 dimensionless) (-19.5416643740)
