# Puchwein et al 2019
# z = 1.871000
# E [Ryd] log (J_nu)
interpolate (0.0000000100) (-50.0000000000)
continue (0.0007810860 dimensionless) (-50.0000000000)
continue (0.0007889757 dimensionless) (-17.7986028757)
continue (0.0008276721 dimensionless) (-17.8201610720)
continue (0.0008678733 dimensionless) (-17.8431480989)
continue (0.0009112670 dimensionless) (-17.8674201523)
continue (0.0009556071 dimensionless) (-17.8927900304)
continue (0.0010026042 dimensionless) (-17.9190129531)
continue (0.0010517855 dimensionless) (-17.9453869454)
continue (0.0011034960 dimensionless) (-17.9730583720)
continue (0.0011577525 dimensionless) (-18.0010000278)
continue (0.0012145368 dimensionless) (-18.0295136512)
continue (0.0012741429 dimensionless) (-18.0581905270)
continue (0.0013367566 dimensionless) (-18.0870343793)
continue (0.0014023807 dimensionless) (-18.1161682867)
continue (0.0014712092 dimensionless) (-18.1456332220)
continue (0.0015434739 dimensionless) (-18.1753535853)
continue (0.0016194544 dimensionless) (-18.2051635422)
continue (0.0016988571 dimensionless) (-18.2347040703)
continue (0.0017822550 dimensionless) (-18.2640818835)
continue (0.0018700328 dimensionless) (-18.2933675491)
continue (0.0019618234 dimensionless) (-18.3223930473)
continue (0.0020579652 dimensionless) (-18.3513473049)
continue (0.0021594004 dimensionless) (-18.3800722897)
continue (0.0022651429 dimensionless) (-18.4087127349)
continue (0.0023768048 dimensionless) (-18.4371126187)
continue (0.0024932065 dimensionless) (-18.4649591867)
continue (0.0026155768 dimensionless) (-18.4924139602)
continue (0.0027439535 dimensionless) (-18.5194182132)
continue (0.0028792005 dimensionless) (-18.5459177293)
continue (0.0030204407 dimensionless) (-18.5718652060)
continue (0.0031685222 dimensionless) (-18.5972229304)
continue (0.0033245785 dimensionless) (-18.6217838503)
continue (0.0034874358 dimensionless) (-18.6458915609)
continue (0.0036582375 dimensionless) (-18.6689778290)
continue (0.0038385298 dimensionless) (-18.6914355864)
continue (0.0040268094 dimensionless) (-18.7128703793)
continue (0.0042246962 dimensionless) (-18.7332980331)
continue (0.0044322323 dimensionless) (-18.7527634505)
continue (0.0046493213 dimensionless) (-18.7715996413)
continue (0.0048783028 dimensionless) (-18.7896814802)
continue (0.0051194774 dimensionless) (-18.8079904073)
continue (0.0053698702 dimensionless) (-18.8265223565)
continue (0.0056320579 dimensionless) (-18.8449677712)
continue (0.0059096431 dimensionless) (-18.8635965519)
continue (0.0061990950 dimensionless) (-18.8823973083)
continue (0.0065044038 dimensionless) (-18.9017024635)
continue (0.0068259698 dimensionless) (-18.9215431819)
continue (0.0071584208 dimensionless) (-18.9415739755)
continue (0.0075125059 dimensionless) (-18.9621752494)
continue (0.0078829323 dimensionless) (-18.9825492705)
continue (0.0082692103 dimensionless) (-19.0007824345)
continue (0.0086704755 dimensionless) (-19.0165992618)
continue (0.0090944807 dimensionless) (-19.0295136512)
continue (0.0095460609 dimensionless) (-19.0397195356)
continue (0.0100150233 dimensionless) (-19.0476435227)
continue (0.0105069407 dimensionless) (-19.0533021628)
continue (0.0110229463 dimensionless) (-19.0567033854)
continue (0.0115643017 dimensionless) (-19.0579919470)
continue (0.0121324320 dimensionless) (-19.0570994589)
continue (0.0127271923 dimensionless) (-19.0541376755)
continue (0.0133518970 dimensionless) (-19.0490999106)
continue (0.0140087159 dimensionless) (-19.0418185024)
continue (0.0146954841 dimensionless) (-19.0322648682)
continue (0.0154190689 dimensionless) (-19.0202240673)
continue (0.0161744226 dimensionless) (-19.0056828473)
continue (0.0169695898 dimensionless) (-18.9888526392)
continue (0.0178051382 dimensionless) (-18.9694002780)
continue (0.0186773308 dimensionless) (-18.9480760840)
continue (0.0195971392 dimensionless) (-18.9251835594)
continue (0.0205564397 dimensionless) (-18.9020489290)
continue (0.0215684490 dimensionless) (-18.8810742472)
continue (0.0226289290 dimensionless) (-18.8632794328)
continue (0.0237370922 dimensionless) (-18.8461851357)
continue (0.0249048093 dimensionless) (-18.8297382846)
continue (0.0261257732 dimensionless) (-18.8138916202)
continue (0.0274065254 dimensionless) (-18.7983298204)
continue (0.0287556633 dimensionless) (-18.7822529267)
continue (0.0301644148 dimensionless) (-18.7649768405)
continue (0.0316522046 dimensionless) (-18.7461775613)
continue (0.0332094377 dimensionless) (-18.7260732199)
continue (0.0348343643 dimensionless) (-18.7042130597)
continue (0.0365530273 dimensionless) (-18.6806856959)
continue (0.0383368519 dimensionless) (-18.6597542384)
continue (0.0402325373 dimensionless) (-18.6478174819)
continue (0.0422078263 dimensionless) (-18.6428277423)
continue (0.0442792503 dimensionless) (-18.6399749108)
continue (0.0464458191 dimensionless) (-18.6388390048)
continue (0.0487308541 dimensionless) (-18.6401645177)
continue (0.0511373160 dimensionless) (-18.6455073994)
continue (0.0536354897 dimensionless) (-18.6567884098)
continue (0.0562510476 dimensionless) (-18.6710091446)
continue (0.0590198815 dimensionless) (-18.6846595234)
continue (0.0619488083 dimensionless) (-18.6957249495)
continue (0.0649513165 dimensionless) (-18.7042130597)
continue (0.0681575894 dimensionless) (-18.7133190306)
continue (0.0715280197 dimensionless) (-18.7244583116)
continue (0.0750013968 dimensionless) (-18.7373116557)
continue (0.0786931754 dimensionless) (-18.7517814388)
continue (0.0825422981 dimensionless) (-18.7675121336)
continue (0.0866223356 dimensionless) (-18.7856861026)
continue (0.0908541347 dimensionless) (-18.8054856581)
continue (0.0953507346 dimensionless) (-18.8236193078)
continue (0.1000293052 dimensionless) (-18.8428455601)
continue (0.1049484016 dimensionless) (-18.8610660597)
continue (0.1100962874 dimensionless) (-18.8768019250)
continue (0.1155110877 dimensionless) (-18.8924508703)
continue (0.1211791185 dimensionless) (-18.9090369234)
continue (0.1271298787 dimensionless) (-18.9251835594)
continue (0.1333821679 dimensionless) (-18.9400581119)
continue (0.1399365741 dimensionless) (-18.9566377220)
continue (0.1467891383 dimensionless) (-18.9742846161)
continue (0.1540082763 dimensionless) (-18.9939620450)
continue (0.1615721579 dimensionless) (-19.0147082814)
continue (0.1695065050 dimensionless) (-19.0370627116)
continue (0.1778428905 dimensionless) (-19.0607304137)
continue (0.1865820989 dimensionless) (-19.0841254971)
continue (0.1957188511 dimensionless) (-19.1110346557)
continue (0.2053328010 dimensionless) (-19.1433919316)
continue (0.2154295439 dimensionless) (-19.1778319206)
continue (0.2260086733 dimensionless) (-19.2158107946)
continue (0.2371238540 dimensionless) (-19.2496459112)
continue (0.2487761318 dimensionless) (-19.2681695797)
continue (0.2609584682 dimensionless) (-19.2803373170)
continue (0.2738182004 dimensionless) (-19.2943928366)
continue (0.2872846692 dimensionless) (-19.3089185079)
continue (0.3013448978 dimensionless) (-19.3235807683)
continue (0.3161925645 dimensionless) (-19.3371477667)
continue (0.3317316967 dimensionless) (-19.3506651413)
continue (0.3479446242 dimensionless) (-19.3645162532)
continue (0.3650909338 dimensionless) (-19.3766473185)
continue (0.3830462256 dimensionless) (-19.3906190557)
continue (0.4017931970 dimensionless) (-19.4079343296)
continue (0.4214925859 dimensionless) (-19.4291069638)
continue (0.4421479723 dimensionless) (-19.4523483416)
continue (0.4639852194 dimensionless) (-19.4775557665)
continue (0.4867879118 dimensionless) (-19.5061238891)
continue (0.5105137091 dimensionless) (-19.5382014425)
continue (0.5357242627 dimensionless) (-19.5738141748)
continue (0.5621634613 dimensionless) (-19.6122543404)
continue (0.5898168096 dimensionless) (-19.6489771474)
continue (0.6186469591 dimensionless) (-19.6912222263)
continue (0.6490505490 dimensionless) (-19.7456936677)
continue (0.6810664954 dimensionless) (-19.8082696066)
continue (0.7141590680 dimensionless) (-19.8827287043)
continue (0.7493971799 dimensionless) (-19.9535048357)
continue (0.7493971799 dimensionless) (-20.1322379753)
continue (0.7862527790 dimensionless) (-20.2367966996)
continue (0.8246759917 dimensionless) (-20.3817426552)
continue (0.8288690942 dimensionless) (-20.4037900938)
continue (0.8329222993 dimensionless) (-20.4229174110)
continue (0.8369692137 dimensionless) (-20.4420719409)
