# Puchwein et al 2019
# z = 1.053000
# E [Ryd] log (J_nu)
interpolate (0.0000000100) (-50.0000000000)
continue (0.0007810860 dimensionless) (-50.0000000000)
continue (0.0007889757 dimensionless) (-18.0194966818)
continue (0.0008276721 dimensionless) (-18.0426801031)
continue (0.0008678733 dimensionless) (-18.0668671763)
continue (0.0009112670 dimensionless) (-18.0921051646)
continue (0.0009556071 dimensionless) (-18.1181020264)
continue (0.0010026042 dimensionless) (-18.1446020033)
continue (0.0010517855 dimensionless) (-18.1715979215)
continue (0.0011034960 dimensionless) (-18.1990768182)
continue (0.0011577525 dimensionless) (-18.2270918050)
continue (0.0012145368 dimensionless) (-18.2553159367)
continue (0.0012741429 dimensionless) (-18.2836627121)
continue (0.0013367566 dimensionless) (-18.3121144752)
continue (0.0014023807 dimensionless) (-18.3406543643)
continue (0.0014712092 dimensionless) (-18.3693687560)
continue (0.0015434739 dimensionless) (-18.3980485959)
continue (0.0016194544 dimensionless) (-18.4267801729)
continue (0.0016988571 dimensionless) (-18.4551880882)
continue (0.0017822550 dimensionless) (-18.4833324409)
continue (0.0018700328 dimensionless) (-18.5111673656)
continue (0.0019618234 dimensionless) (-18.5388017114)
continue (0.0020579652 dimensionless) (-18.5662301661)
continue (0.0021594004 dimensionless) (-18.5932895414)
continue (0.0022651429 dimensionless) (-18.6199697520)
continue (0.0023768048 dimensionless) (-18.6462760624)
continue (0.0024932065 dimensionless) (-18.6720283764)
continue (0.0026155768 dimensionless) (-18.6972362915)
continue (0.0027439535 dimensionless) (-18.7217037919)
continue (0.0028792005 dimensionless) (-18.7456936677)
continue (0.0030204407 dimensionless) (-18.7690404443)
continue (0.0031685222 dimensionless) (-18.7918274733)
continue (0.0033245785 dimensionless) (-18.8136087843)
continue (0.0034874358 dimensionless) (-18.8347556739)
continue (0.0036582375 dimensionless) (-18.8554257924)
continue (0.0038385298 dimensionless) (-18.8751698506)
continue (0.0040268094 dimensionless) (-18.8941493256)
continue (0.0042246962 dimensionless) (-18.9129287941)
continue (0.0044322323 dimensionless) (-18.9307019879)
continue (0.0046493213 dimensionless) (-18.9484616095)
continue (0.0048783028 dimensionless) (-18.9657727392)
continue (0.0051194774 dimensionless) (-18.9833844524)
continue (0.0053698702 dimensionless) (-19.0010000278)
continue (0.0056320579 dimensionless) (-19.0186798267)
continue (0.0059096431 dimensionless) (-19.0363065948)
continue (0.0061990950 dimensionless) (-19.0537442928)
continue (0.0065044038 dimensionless) (-19.0709900145)
continue (0.0068259698 dimensionless) (-19.0877247895)
continue (0.0071584208 dimensionless) (-19.1038597486)
continue (0.0075125059 dimensionless) (-19.1191864077)
continue (0.0078829323 dimensionless) (-19.1330041869)
continue (0.0082692103 dimensionless) (-19.1446625955)
continue (0.0086704755 dimensionless) (-19.1538485235)
continue (0.0090944807 dimensionless) (-19.1603962705)
continue (0.0095460609 dimensionless) (-19.1644362483)
