# Puchwein et al 2019
# z = 0.956700
# E [Ryd] log (J_nu)
interpolate (0.0000000100) (-50.0000000000)
continue (0.0007810860 dimensionless) (-50.0000000000)
continue (0.0007889757 dimensionless) (-18.0678307541)
continue (0.0008276721 dimensionless) (-18.0912469808)
continue (0.0008678733 dimensionless) (-18.1156578524)
continue (0.0009112670 dimensionless) (-18.1410419453)
continue (0.0009556071 dimensionless) (-18.1671718705)
continue (0.0010026042 dimensionless) (-18.1937521728)
continue (0.0010517855 dimensionless) (-18.2208365762)
continue (0.0011034960 dimensionless) (-18.2483360537)
continue (0.0011577525 dimensionless) (-18.2763801645)
continue (0.0012145368 dimensionless) (-18.3046058917)
continue (0.0012741429 dimensionless) (-18.3329207945)
continue (0.0013367566 dimensionless) (-18.3613111133)
continue (0.0014023807 dimensionless) (-18.3897658247)
continue (0.0014712092 dimensionless) (-18.4183916340)
continue (0.0015434739 dimensionless) (-18.4469669838)
continue (0.0016194544 dimensionless) (-18.4754740634)
continue (0.0016988571 dimensionless) (-18.5036239460)
continue (0.0017822550 dimensionless) (-18.5316526696)
continue (0.0018700328 dimensionless) (-18.5594057382)
continue (0.0019618234 dimensionless) (-18.5867002359)
continue (0.0020579652 dimensionless) (-18.6138578911)
continue (0.0021594004 dimensionless) (-18.6407338354)
continue (0.0022651429 dimensionless) (-18.6671577330)
continue (0.0023768048 dimensionless) (-18.6931462513)
continue (0.0024932065 dimensionless) (-18.7185121121)
continue (0.0026155768 dimensionless) (-18.7432822540)
continue (0.0027439535 dimensionless) (-18.7675121336)
continue (0.0028792005 dimensionless) (-18.7912899801)
continue (0.0030204407 dimensionless) (-18.8141746404)
continue (0.0031685222 dimensionless) (-18.8365404482)
continue (0.0033245785 dimensionless) (-18.8579235389)
continue (0.0034874358 dimensionless) (-18.8787685449)
continue (0.0036582375 dimensionless) (-18.8989406451)
continue (0.0038385298 dimensionless) (-18.9186526922)
continue (0.0040268094 dimensionless) (-18.9374180158)
continue (0.0042246962 dimensionless) (-18.9558523791)
continue (0.0044322323 dimensionless) (-18.9738754833)
continue (0.0046493213 dimensionless) (-18.9913998282)
continue (0.0048783028 dimensionless) (-19.0086853018)
continue (0.0051194774 dimensionless) (-19.0261796756)
continue (0.0053698702 dimensionless) (-19.0436394463)
continue (0.0056320579 dimensionless) (-19.0610801878)
continue (0.0059096431 dimensionless) (-19.0784175596)
continue (0.0061990950 dimensionless) (-19.0954467370)
continue (0.0065044038 dimensionless) (-19.1120452962)
continue (0.0068259698 dimensionless) (-19.1280769681)
continue (0.0071584208 dimensionless) (-19.1433315164)
continue (0.0075125059 dimensionless) (-19.1576404267)
continue (0.0078829323 dimensionless) (-19.1703746466)
continue (0.0082692103 dimensionless) (-19.1809169243)
continue (0.0086704755 dimensionless) (-19.1889614914)
continue (0.0090944807 dimensionless) (-19.1943632337)
continue (0.0095460609 dimensionless) (-19.1972262747)
continue (0.0100150233 dimensionless) (-19.1978422468)
continue (0.0105069407 dimensionless) (-19.1960651501)
continue (0.0110229463 dimensionless) (-19.1919917001)
continue (0.0115643017 dimensionless) (-19.1856857998)
continue (0.0121324320 dimensionless) (-19.1772436670)
continue (0.0127271923 dimensionless) (-19.1667253607)
continue (0.0133518970 dimensionless) (-19.1544059068)
continue (0.0140087159 dimensionless) (-19.1406214956)
continue (0.0146954841 dimensionless) (-19.1256341643)
continue (0.0154190689 dimensionless) (-19.1096348786)
continue (0.0161744226 dimensionless) (-19.0929112549)
continue (0.0169695898 dimensionless) (-19.0756173228)
continue (0.0178051382 dimensionless) (-19.0577438496)
continue (0.0186773308 dimensionless) (-19.0394816572)
continue (0.0195971392 dimensionless) (-19.0208159663)
continue (0.0205564397 dimensionless) (-19.0021332738)
continue (0.0215684490 dimensionless) (-18.9842212436)
continue (0.0226289290 dimensionless) (-18.9673812391)
continue (0.0237370922 dimensionless) (-18.9507819773)
continue (0.0249048093 dimensionless) (-18.9344202853)
continue (0.0261257732 dimensionless) (-18.9182927299)
continue (0.0274065254 dimensionless) (-18.9027426903)
continue (0.0287556633 dimensionless) (-18.8877302316)
continue (0.0301644148 dimensionless) (-18.8735438866)
continue (0.0316522046 dimensionless) (-18.8604357338)
continue (0.0332094377 dimensionless) (-18.8483237692)
continue (0.0348343643 dimensionless) (-18.8371370067)
continue (0.0365530273 dimensionless) (-18.8268137316)
continue (0.0383368519 dimensionless) (-18.8195873672)
continue (0.0402325373 dimensionless) (-18.8178707859)
continue (0.0422078263 dimensionless) (-18.8201610720)
continue (0.0442792503 dimensionless) (-18.8244881866)
continue (0.0464458191 dimensionless) (-18.8303255659)
continue (0.0487308541 dimensionless) (-18.8380333836)
continue (0.0511373160 dimensionless) (-18.8483237692)
continue (0.0536354897 dimensionless) (-18.8620132673)
continue (0.0562510476 dimensionless) (-18.8771290771)
continue (0.0590198815 dimensionless) (-18.8924508703)
continue (0.0619488083 dimensionless) (-18.9069286936)
continue (0.0649513165 dimensionless) (-18.9208187540)
continue (0.0681575894 dimensionless) (-18.9362914406)
continue (0.0715280197 dimensionless) (-18.9531148092)
continue (0.0750013968 dimensionless) (-18.9710222948)
continue (0.0786931754 dimensionless) (-18.9901243663)
continue (0.0825422981 dimensionless) (-19.0101054363)
continue (0.0866223356 dimensionless) (-19.0310036734)
continue (0.0908541347 dimensionless) (-19.0526643241)
continue (0.0953507346 dimensionless) (-19.0731946899)
continue (0.1000293052 dimensionless) (-19.0943659987)
continue (0.1049484016 dimensionless) (-19.1148650339)
continue (0.1100962874 dimensionless) (-19.1343039401)
continue (0.1155110877 dimensionless) (-19.1542819820)
continue (0.1211791185 dimensionless) (-19.1752885565)
continue (0.1271298787 dimensionless) (-19.1968161115)
continue (0.1333821679 dimensionless) (-19.2183882175)
continue (0.1399365741 dimensionless) (-19.2416180582)
continue (0.1467891383 dimensionless) (-19.2661609993)
continue (0.1540082763 dimensionless) (-19.2921744317)
continue (0.1615721579 dimensionless) (-19.3195738291)
continue (0.1695065050 dimensionless) (-19.3479471518)
continue (0.1778428905 dimensionless) (-19.3775787260)
continue (0.1865820989 dimensionless) (-19.4068247365)
continue (0.1957188511 dimensionless) (-19.4380642367)
continue (0.2053328010 dimensionless) (-19.4721124340)
continue (0.2154295439 dimensionless) (-19.5059846252)
continue (0.2260086733 dimensionless) (-19.5413621510)
continue (0.2371238540 dimensionless) (-19.5734887386)
continue (0.2487761318 dimensionless) (-19.5948244538)
continue (0.2609584682 dimensionless) (-19.6127881997)
continue (0.2738182004 dimensionless) (-19.6320852612)
continue (0.2872846692 dimensionless) (-19.6520848135)
continue (0.3013448978 dimensionless) (-19.6726410656)
continue (0.3161925645 dimensionless) (-19.6937894918)
continue (0.3317316967 dimensionless) (-19.7151182853)
continue (0.3479446242 dimensionless) (-19.7373116557)
continue (0.3650909338 dimensionless) (-19.7609509069)
continue (0.3830462256 dimensionless) (-19.7862167007)
continue (0.4017931970 dimensionless) (-19.8147412347)
continue (0.4214925859 dimensionless) (-19.8471004036)
continue (0.4421479723 dimensionless) (-19.8823973083)
continue (0.4639852194 dimensionless) (-19.9204569926)
continue (0.4867879118 dimensionless) (-19.9625735021)
continue (0.5105137091 dimensionless) (-20.0087296108)
continue (0.5357242627 dimensionless) (-20.0589857563)
continue (0.5621634613 dimensionless) (-20.1130582940)
continue (0.5898168096 dimensionless) (-20.1663430031)
continue (0.6186469591 dimensionless) (-20.2242439622)
continue (0.6490505490 dimensionless) (-20.2924298239)
continue (0.6810664954 dimensionless) (-20.3669357273)
continue (0.7141590680 dimensionless) (-20.4509967380)
continue (0.7493222477 dimensionless) (-20.5292955703)
continue (0.7494721272 dimensionless) (-20.6813107301)
continue (0.7862527790 dimensionless) (-20.7854210464)
continue (0.8246759917 dimensionless) (-20.9190129531)
continue (0.8288690942 dimensionless) (-20.9386078438)
continue (0.8329222993 dimensionless) (-20.9553309112)
continue (0.8369692137 dimensionless) (-20.9719495622)
continue (0.8410245965 dimensionless) (-20.9884549298)
continue (0.8450724461 dimensionless) (-21.0048533323)
continue (0.8491277985 dimensionless) (-21.0209927819)
continue (0.8531743306 dimensionless) (-21.0370622386)
continue (0.8572273582 dimensionless) (-21.0531210195)
continue (0.8612783740 dimensionless) (-21.0694829324)
continue (0.8654007320 dimensionless) (-21.0861861476)
continue (0.8695793374 dimensionless) (-21.1084313233)
continue (0.8738320076 dimensionless) (-21.1284883603)
continue (0.8780757090 dimensionless) (-21.1473797373)
continue (0.8823266565 dimensionless) (-21.1661939748)
continue (0.8865758338 dimensionless) (-21.1849325485)
continue (0.8880856269 dimensionless) (-21.1930742231)
continue (0.8882632618 dimensionless) (-21.1864190114)
continue (0.8908313008 dimensionless) (-21.1971968668)
