# Puchwein et al 2019
# z = 0.270900
# E [Ryd] log (J_nu)
interpolate (0.0000000100) (-50.0000000000)
continue (0.0007810860 dimensionless) (-50.0000000000)
continue (0.0007889757 dimensionless) (-18.6287473709)
continue (0.0008276721 dimensionless) (-18.6544302439)
continue (0.0008678733 dimensionless) (-18.6804775509)
continue (0.0009112670 dimensionless) (-18.7070797004)
continue (0.0009556071 dimensionless) (-18.7340036295)
continue (0.0010026042 dimensionless) (-18.7614521123)
continue (0.0010517855 dimensionless) (-18.7888794587)
continue (0.0011034960 dimensionless) (-18.8164454664)
continue (0.0011577525 dimensionless) (-18.8440569820)
continue (0.0012145368 dimensionless) (-18.8719239873)
continue (0.0012741429 dimensionless) (-18.8996294549)
continue (0.0013367566 dimensionless) (-18.9273825235)
continue (0.0014023807 dimensionless) (-18.9546770212)
continue (0.0014712092 dimensionless) (-18.9817156916)
continue (0.0015434739 dimensionless) (-19.0089512235)
continue (0.0016194544 dimensionless) (-19.0356932177)
continue (0.0016988571 dimensionless) (-19.0619809025)
continue (0.0017822550 dimensionless) (-19.0878842709)
continue (0.0018700328 dimensionless) (-19.1133401021)
continue (0.0019618234 dimensionless) (-19.1382864124)
continue (0.0020579652 dimensionless) (-19.1626641320)
continue (0.0021594004 dimensionless) (-19.1866191933)
continue (0.0022651429 dimensionless) (-19.2099964796)
continue (0.0023768048 dimensionless) (-19.2327699019)
continue (0.0024932065 dimensionless) (-19.2550814576)
continue (0.0026155768 dimensionless) (-19.2767085535)
continue (0.0027439535 dimensionless) (-19.2979142786)
continue (0.0028792005 dimensionless) (-19.3184874134)
continue (0.0030204407 dimensionless) (-19.3386606600)
continue (0.0031685222 dimensionless) (-19.3584267468)
continue (0.0033245785 dimensionless) (-19.3776823392)
continue (0.0034874358 dimensionless) (-19.3964226318)
continue (0.0036582375 dimensionless) (-19.4147649366)
continue (0.0038385298 dimensionless) (-19.4327383076)
continue (0.0040268094 dimensionless) (-19.4500163888)
continue (0.0042246962 dimensionless) (-19.4667364832)
continue (0.0044322323 dimensionless) (-19.4828041021)
continue (0.0046493213 dimensionless) (-19.4982562704)
continue (0.0048783028 dimensionless) (-19.5128616245)
continue (0.0051194774 dimensionless) (-19.5268050908)
continue (0.0053698702 dimensionless) (-19.5397036732)
continue (0.0056320579 dimensionless) (-19.5516028965)
continue (0.0059096431 dimensionless) (-19.5620909645)
continue (0.0061990950 dimensionless) (-19.5712174885)
continue (0.0065044038 dimensionless) (-19.5785606098)
continue (0.0068259698 dimensionless) (-19.5841922724)
continue (0.0071584208 dimensionless) (-19.5877074907)
continue (0.0075125059 dimensionless) (-19.5892227666)
continue (0.0078829323 dimensionless) (-19.5885486579)
continue (0.0082692103 dimensionless) (-19.5853608533)
continue (0.0086704755 dimensionless) (-19.5798791519)
continue (0.0090944807 dimensionless) (-19.5723516288)
continue (0.0095460609 dimensionless) (-19.5632014898)
