# Puchwein et al 2019
# z = 0.154700
# E [Ryd] log (J_nu)
interpolate (0.0000000100) (-50.0000000000)
continue (0.0007810860 dimensionless) (-50.0000000000)
continue (0.0007889757 dimensionless) (-18.7752080435)
continue (0.0008276721 dimensionless) (-18.8010681301)
continue (0.0008678733 dimensionless) (-18.8273970688)
continue (0.0009112670 dimensionless) (-18.8541822855)
continue (0.0009556071 dimensionless) (-18.8814046348)
continue (0.0010026042 dimensionless) (-18.9086848403)
continue (0.0010517855 dimensionless) (-18.9359165640)
continue (0.0011034960 dimensionless) (-18.9633711046)
continue (0.0011577525 dimensionless) (-18.9909742579)
continue (0.0012145368 dimensionless) (-19.0187251673)
continue (0.0012741429 dimensionless) (-19.0461437018)
continue (0.0013367566 dimensionless) (-19.0733489229)
continue (0.0014023807 dimensionless) (-19.1004530689)
continue (0.0014712092 dimensionless) (-19.1272611725)
continue (0.0015434739 dimensionless) (-19.1537866361)
continue (0.0016194544 dimensionless) (-19.1799299657)
continue (0.0016988571 dimensionless) (-19.2056513961)
continue (0.0017822550 dimensionless) (-19.2309182129)
continue (0.0018700328 dimensionless) (-19.2557070169)
continue (0.0019618234 dimensionless) (-19.2799234272)
continue (0.0020579652 dimensionless) (-19.3036436113)
continue (0.0021594004 dimensionless) (-19.3268868958)
continue (0.0022651429 dimensionless) (-19.3494982051)
continue (0.0023768048 dimensionless) (-19.3717132689)
continue (0.0024932065 dimensionless) (-19.3932962587)
continue (0.0026155768 dimensionless) (-19.4144264814)
continue (0.0027439535 dimensionless) (-19.4350973275)
continue (0.0028792005 dimensionless) (-19.4551880882)
continue (0.0030204407 dimensionless) (-19.4749551930)
continue (0.0031685222 dimensionless) (-19.4943074926)
continue (0.0033245785 dimensionless) (-19.5130031116)
continue (0.0034874358 dimensionless) (-19.5313573316)
continue (0.0036582375 dimensionless) (-19.5491353076)
continue (0.0038385298 dimensionless) (-19.5663901567)
continue (0.0040268094 dimensionless) (-19.5828605903)
continue (0.0042246962 dimensionless) (-19.5987718325)
continue (0.0044322323 dimensionless) (-19.6136794261)
continue (0.0046493213 dimensionless) (-19.6276404175)
continue (0.0048783028 dimensionless) (-19.6407338354)
continue (0.0051194774 dimensionless) (-19.6528652171)
continue (0.0053698702 dimensionless) (-19.6637404480)
continue (0.0056320579 dimensionless) (-19.6730500058)
continue (0.0059096431 dimensionless) (-19.6808939407)
continue (0.0061990950 dimensionless) (-19.6869768897)
continue (0.0065044038 dimensionless) (-19.6912222263)
continue (0.0068259698 dimensionless) (-19.6933605590)
continue (0.0071584208 dimensionless) (-19.6933605590)
continue (0.0075125059 dimensionless) (-19.6914355864)
continue (0.0078829323 dimensionless) (-19.6871881738)
continue (0.0082692103 dimensionless) (-19.6808939407)
continue (0.0086704755 dimensionless) (-19.6728454876)
continue (0.0090944807 dimensionless) (-19.6631401791)
continue (0.0095460609 dimensionless) (-19.6520848135)
continue (0.0100150233 dimensionless) (-19.6401645177)
continue (0.0105069407 dimensionless) (-19.6270879970)
continue (0.0110229463 dimensionless) (-19.6131444708)
continue (0.0115643017 dimensionless) (-19.5984271543)
continue (0.0121324320 dimensionless) (-19.5830268274)
continue (0.0127271923 dimensionless) (-19.5671909950)
continue (0.0133518970 dimensionless) (-19.5508302678)
continue (0.0140087159 dimensionless) (-19.5341711846)
